geneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AMEX60DD000474	230.8170496	-0.087297685	0.477584542	-0.182790013	0.854962785	0.999973456
AMEX60DD000475	2656.990845	-0.043843823	0.231645887	-0.189270891	0.849880509	0.999973456
AMEX60DD000476	6542.679956	-0.094341495	0.301539884	-0.312865727	0.754382677	0.999973456
AMEX60DD000477	1413.799636	-0.156147509	0.279710958	-0.55824595	0.576676447	0.999973456
AMEX60DD000479	879.1143976	0.001112252	0.24824145	0.004480524	0.996425071	0.999973456
AMEX60DD000482	1587.561505	0.319111354	0.325829197	0.979382316	0.327391111	0.999973456
AMEX60DD000484	1771.637434	-0.097520579	0.210019189	-0.46434128	0.642403253	0.999973456
AMEX60DD000485	498.7579709	-0.218555241	0.335897345	-0.650660818	0.515265461	0.999973456
AMEX60DD000488	1925.30192	-0.093507527	0.248985968	-0.375553402	0.707248939	0.999973456
AMEX60DD000489	3166.733445	-0.078729857	0.368441154	-0.213683669	0.830793748	0.999973456
AMEX60DD000490	4773.209297	0.101934079	0.29042062	0.350987746	0.725597542	0.999973456
AMEX60DD000492	6563.840333	0.133976671	0.312646124	0.428524969	0.668268959	0.999973456
AMEX60DD000496	197.7817341	-1.001793318	0.794203796	-1.261380672	0.207171728	0.999973456
AMEX60DD000497	99.93234913	2.144677779	1.097922787	1.953395816	0.050772712	0.637974886
AMEX60DD000498	2219.923326	-0.340917452	0.209728737	-1.625516168	0.104052622	0.934501607
AMEX60DD000499	4169.914516	0.020488262	0.241835816	0.084719719	0.932484219	0.999973456
AMEX60DD000500	1002.200156	-0.180626197	0.315441448	-0.572614025	0.566906061	0.999973456
AMEX60DD000501	68534.70929	-0.151872032	0.238082765	-0.637895951	0.523541413	0.999973456
AMEX60DD000503	24750.38307	-0.046495038	0.278217295	-0.167117713	0.867277429	0.999973456
AMEX60DD000504	968.0233199	-0.015926619	0.358773467	-0.044391854	0.964592055	0.999973456
AMEX60DD000505	2808.962904	-0.09459141	0.21249211	-0.445152576	0.656209496	0.999973456
AMEX60DD000506	32.83009597	-0.185057772	0.840510762	-0.220172995	0.825736427	0.999973456
AMEX60DD000507	12043.84441	-0.003943737	0.311497135	-0.012660589	0.989898582	0.999973456
AMEX60DD000508	12.89628571	-0.2065435	2.145221672	-0.096280726	0.923297619	0.999973456
AMEX60DD000509	1606.414099	-0.072757176	0.323527685	-0.224887017	0.822067169	0.999973456
AMEX60DD000513	172.5117967	-0.139812938	0.491721012	-0.28433387	0.776154532	0.999973456
AMEX60DD000514	145.429853	0.123746048	0.6277836	0.197115771	0.843736942	0.999973456
AMEX60DD000518	40.60125869	-0.214751083	0.741870905	-0.289472308	0.772219968	0.999973456
AMEX60DD000519	37.32830972	0.285630671	0.784767172	0.36396868	0.715881398	0.999973456
AMEX60DD000525	3013.016263	0.044774944	0.217806759	0.205571877	0.837125348	0.999973456
AMEX60DD000526	165659.1706	-0.053979926	0.208283813	-0.25916525	0.795507742	0.999973456
AMEX60DD000527	8854.358415	-0.117604778	0.186588523	-0.630289456	0.52850522	0.999973456
AMEX60DD000529	37.31228412	0.185688119	0.792832173	0.234208608	0.814823033	0.999973456
AMEX60DD000530	3019.592045	-0.008925324	0.236132223	-0.037797992	0.969848745	0.999973456
AMEX60DD000531	44.66784141	2.38009527	1.100143146	2.163441439	0.030507243	0.470697044
AMEX60DD000532	80.3081482	2.458708742	0.901531316	2.727258277	0.006386303	0.173695601
AMEX60DD000533	153.2576184	-0.852705593	1.14625363	-0.743906559	0.456933007	0.999973456
AMEX60DD000535	666.1127943	0.137390391	0.406066357	0.338344678	0.735103459	0.999973456
AMEX60DD000538	25.13058453	1.355372021	1.022690473	1.32530033	0.18507156	0.999973456
AMEX60DD000539	3141.284748	0.219637188	0.281502375	0.780232095	0.435254274	0.999973456
AMEX60DD000544	103.5466452	-0.195857475	0.870996619	-0.224865942	0.822083565	0.999973456
AMEX60DD000545	109.9731471	0.289984117	0.854088119	0.339524823	0.734214401	0.999973456
AMEX60DD000546	62.95801404	-0.987297733	1.83611548	-0.537710042	0.590777245	0.999973456
AMEX60DD000547	30.78494133	0.049785988	1.175725142	0.042344921	0.966223736	0.999973456
AMEX60DD000548	1324.880794	-0.062341843	0.460973204	-0.135239624	0.89242242	0.999973456
AMEX60DD000549	87.83464775	0.089101175	0.843612822	0.105618564	0.915884995	0.999973456
AMEX60DD000551	89.85846904	0.518824613	0.569132483	0.911606048	0.361976138	0.999973456
AMEX60DD000552	1758.801777	0.672245418	0.334247597	2.011219896	0.044302235	0.590949735
AMEX60DD000556	42.01357418	-0.033750346	0.910579513	-0.037064689	0.970433427	0.999973456
AMEX60DD000559	43.26257953	0.900552254	0.708086776	1.271810581	0.203440428	0.999973456
AMEX60DD000562	15.82669289	-0.337554291	1.128366506	-0.299153058	0.764823265	0.999973456
AMEX60DD000565	1106.710251	0.173816477	0.216244449	0.80379625	0.421514656	0.999973456
AMEX60DD000566	712.891473	-0.237218448	0.299133713	-0.793018099	0.427767278	0.999973456
AMEX60DD000569	1473.594529	-0.022158943	0.293113245	-0.075598572	0.939738473	0.999973456
AMEX60DD000570	1350.814	-0.101820928	0.246916227	-0.412370339	0.680068	0.999973456
AMEX60DD000571	1317.27261	-0.21528999	0.360310282	-0.597512759	0.550165091	0.999973456
AMEX60DD000572	17686.36307	-0.02331233	0.312005141	-0.074717776	0.940439264	0.999973456
AMEX60DD000573	1109.212897	0.013959594	0.247670068	0.05636367	0.955052098	0.999973456
AMEX60DD000575	556.2733747	-0.186180067	0.293848766	-0.633591453	0.52634748	0.999973456
AMEX60DD000576	919.8753332	0.036224673	0.356385011	0.101644772	0.91903864	0.999973456
AMEX60DD000577	415.815098	0.049273555	0.371749963	0.132544883	0.894553325	0.999973456
AMEX60DD000579	3253.893034	-0.160155594	0.235489064	-0.6800978	0.496442537	0.999973456
AMEX60DD000582	320.2545132	-0.13534988	0.342026728	-0.395728957	0.692304991	0.999973456
AMEX60DD000583	935.3205288	-0.025612676	0.387625272	-0.066075867	0.947317424	0.999973456
AMEX60DD000585	1375.96996	0.057582388	0.286070988	0.201287059	0.840474121	0.999973456
AMEX60DD000586	1183.403753	-0.115602403	0.260897637	-0.443094866	0.657697119	0.999973456
AMEX60DD000587	1526.614415	-0.245716619	0.242971108	-1.011299744	0.311872989	0.999973456
AMEX60DD000588	15.49651725	1.211574267	1.074768052	1.127289061	0.259620286	0.999973456
AMEX60DD000591	341.6727535	0.216972529	0.363206043	0.597381387	0.550252778	0.999973456
AMEX60DD000592	1081.778807	0.040818695	0.29695938	0.137455484	0.890670778	0.999973456
AMEX60DD000593	115.8683848	0.115625414	0.63494708	0.182102442	0.855502332	0.999973456
AMEX60DD000594	99.10889929	0.247016741	0.478890983	0.515809965	0.605987142	0.999973456
AMEX60DD000595	1242.490684	-0.884304337	0.644541522	-1.371989712	0.17006664	0.999973456
AMEX60DD000596	1077.813237	0.697577288	0.580832247	1.200996142	0.229752698	0.999973456
AMEX60DD000597	2655.583962	0.274987157	0.318979082	0.862085235	0.388640616	0.999973456
AMEX60DD000598	481.2356823	0.98062471	0.38855558	2.523769471	0.011610404	0.256464487
AMEX60DD000599	826.2977366	-0.16977248	0.234230549	-0.7248093	0.468569029	0.999973456
AMEX60DD000601	5517.402396	-0.126647159	0.250788106	-0.504996673	0.613561173	0.999973456
AMEX60DD000603	36.79109831	0.009824684	1.535733046	0.00639739	0.994895656	0.999973456
AMEX60DD000605	4559.890104	-0.925096635	0.44620868	-2.07323765	0.038150168	0.544353037
AMEX60DD000608	41.36068674	-0.262827105	0.831142702	-0.316223801	0.751832643	0.999973456
AMEX60DD000609	106.4020955	-0.139341474	0.470015952	-0.296461159	0.766877925	0.999973456
AMEX60DD000610	3816.314744	-0.101750672	0.249016764	-0.408609726	0.682826092	0.999973456
AMEX60DD000611	135.4938564	-0.230858907	0.485537671	-0.47547064	0.634451555	0.999973456
AMEX60DD000612	2997.912185	-0.149600443	0.307000546	-0.487296993	0.626047878	0.999973456
AMEX60DD000614	1387.023522	0.378826003	0.237437662	1.595475628	0.110605916	0.968117376
AMEX60DD000615	1981.173397	-0.104124325	0.198835186	-0.523671524	0.600507025	0.999973456
AMEX60DD000616	12.89168424	0.178279993	1.2259134	0.145426254	0.884374337	0.999973456
AMEX60DD000618	625.285813	-0.105396092	0.248066059	-0.424871071	0.670930665	0.999973456
AMEX60DD000619	289.2449974	-0.713395463	0.324421001	-2.198980525	0.027879307	0.446416735
AMEX60DD000620	60.31936943	-0.077315998	0.775880911	-0.099649311	0.920622744	0.999973456
AMEX60DD000622	112.1238351	-1.072571247	0.597800511	-1.794195936	0.072781901	0.781847492
AMEX60DD000624	3585.122778	-0.25967668	0.360338378	-0.720646748	0.471126884	0.999973456
AMEX60DD000625	75.64469277	-0.021171535	0.584264871	-0.036236194	0.971094026	0.999973456
AMEX60DD000627	38.3349799	-0.268276444	0.950335936	-0.282296432	0.777716221	0.999973456
AMEX60DD000628	2940.726599	-0.000102106	0.220518714	-0.000463028	0.999630557	0.999973456
AMEX60DD000629	89.98807925	0.302988087	0.652122056	0.464618678	0.642204554	0.999973456
AMEX60DD000630	6687.815938	1.204644603	0.522729512	2.30452763	0.021193043	0.380599165
